"car_travel_time","bike_travel_time","walk_travel_time","transit_travel_time","transit_headway","choice","av1","av2","av3","av4","numstops","triptime","waitime","cumdist","totalbikes","totalvehs","male","female","nocarlicence","greenlicence","fulllicence","trippurp1","trippurp2","trippurp3","trippurp4","trippurp5","trippurp6","trippurp7","trippurp8"
"10","16","52","33","20",4,1,1,1,1,"5","15","0","4.85","1","2",0,1,0,0,1,0,1,0,0,0,0,0,0
"21","36","114","50","25",4,1,1,1,1,"5","25","0","8.56","1","2",0,1,0,0,1,0,1,0,0,0,0,0,0
"12","21","79","44","12",4,1,1,1,1,"5","20","0","6.11","1","2",0,1,0,0,1,0,0,0,0,0,0,1,0
"5","7","27","13","15",4,1,1,1,1,"3","5","0","1.55","0","1",1,0,0,0,1,0,0,0,1,0,0,0,0
"34.5","54","188","89","20",4,1,1,1,1,"7","45","0","15.04","2","3",0,1,0,0,1,0,0,0,0,1,0,0,0
"14","24","72","49","40",4,1,1,1,1,"7","20","0","4.72","2","3",0,1,0,0,1,0,0,0,0,1,0,0,0
"28","49","176","63","59",4,1,1,1,1,"7","25","0","12.89","2","3",0,1,0,0,1,0,0,0,0,1,0,0,0
"5","6","22","15","40",1,1,1,1,1,"7","15","0","1.32","2","3",0,1,0,0,1,0,0,0,0,0,1,0,0
"6","5","21","12","39",1,1,1,1,1,"7","15","0","1.32","2","3",0,1,0,0,1,0,0,0,0,0,1,0,0
"28","58","179","83","40",4,1,1,1,1,"7","30","0","12.89","2","3",0,1,0,0,1,0,0,0,0,1,0,0,0
"31.5","49","176","81","37",4,1,1,1,1,"7","70","0","12.89","2","3",0,1,0,0,1,0,0,0,0,1,0,0,0
"27","82","270","75","20",4,1,1,1,1,"2","30","0","21.29","2","3",1,0,0,0,0,0,0,0,0,0,0,0,1
"32","79","268","68","32",4,1,1,1,1,"2","30","0","21.29","2","3",1,0,0,0,0,0,0,0,0,0,0,0,1
"34.5","54","188","89","20",4,1,1,1,1,"3","45","0","15.05","2","3",0,1,0,0,0,0,0,0,0,1,0,0,0
"14","24","72","49","40",4,1,1,1,1,"3","20","0","4.72","2","3",0,1,0,0,0,0,0,0,0,1,0,0,0
"31.5","49","176","81","37",4,1,1,1,1,"3","70","0","12.89","2","3",0,1,0,0,0,0,0,1,0,0,0,0,0
"18","36","121","32","60",4,1,1,1,1,"3","20","0","9.29","1","1",1,0,0,0,1,0,0,0,0,1,0,0,0
"16","38","177","64","60",4,1,1,1,1,"3","15","0","12.46","1","2",0,1,0,0,1,0,0,0,0,1,0,0,0
"6.5","12","39","25","40",4,1,1,1,1,"4","8","0","3.69","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"10","8","30","19","40",4,1,1,1,1,"4","10","0","2.28","0","2",0,1,0,0,1,0,0,0,0,0,0,0,1
"35.5","79","241","88","6",4,1,1,1,1,"2","30","0","18.98","0","2",1,0,0,0,1,0,0,0,0,0,0,0,1
